# According to https://scriptures.nephi.org/ this is licensed under public domain
ai.sql.MormonScriptures,seed
volumeId, bookId, chapterId, verseId, volumeTitle, bookTitle, volumeLongTitle, bookLongTitle, volumeSubtitle, bookSubtitle, volumeShortTitle, bookShortTitle, volumeLdsUrl, bookLdsUrl, chapterNumber, verseNumber, scriptureText, verseTitle, verseShortTitle
1,19,487,14036,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,14,"That I may shew forth all thy praise in the gates of the daughter of Zion: I will rejoice in thy salvation.","Psalms 9:14","Ps. 9:14"
1,19,487,14037,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,15,"The heathen are sunk down in the pit that they made: in the net which they hid is their own foot taken.","Psalms 9:15","Ps. 9:15"
1,19,487,14038,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,16,"The Lord is known by the judgment which he executeth: the wicked is snared in the work of his own hands. Higgaion. Selah.","Psalms 9:16","Ps. 9:16"
1,19,487,14039,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,17,"The wicked shall be turned into hell, and all the nations that forget God.","Psalms 9:17","Ps. 9:17"
1,19,487,14040,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,18,"For the needy shall not alway be forgotten: the expectation of the poor shall not perish for ever.","Psalms 9:18","Ps. 9:18"
1,19,487,14041,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,19,"Arise, O Lord; let not man prevail: let the heathen be judged in thy sight.","Psalms 9:19","Ps. 9:19"
1,19,487,14042,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,9,20,"Put them in fear, O Lord: that the nations may know themselves to be but men. Selah.","Psalms 9:20","Ps. 9:20"
1,19,488,14043,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,1,"Why standest thou afar off, O Lord? why hidest thou thyself in times of trouble?","Psalms 10:1","Ps. 10:1"
1,19,488,14044,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,2,"The wicked in his pride doth persecute the poor: let them be taken in the devices that they have imagined.","Psalms 10:2","Ps. 10:2"
1,19,488,14045,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,3,"For the wicked boasteth of his heart's desire, and blesseth the covetous, whom the Lord abhorreth.","Psalms 10:3","Ps. 10:3"
1,19,488,14046,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,4,"The wicked, through the pride of his countenance, will not seek after God: God is not in all his thoughts.","Psalms 10:4","Ps. 10:4"
1,19,488,14047,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,5,"His ways are always grievous; thy judgments are far above out of his sight: as for all his enemies, he puffeth at them.","Psalms 10:5","Ps. 10:5"
1,19,488,14048,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,6,"He hath said in his heart, I shall not be moved: for I shall never be in adversity.","Psalms 10:6","Ps. 10:6"
1,19,488,14049,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,7,"His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.","Psalms 10:7","Ps. 10:7"
1,19,488,14050,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,8,"He sitteth in the lurking places of the villages: in the secret places doth he murder the innocent: his eyes are privily set against the poor.","Psalms 10:8","Ps. 10:8"
1,19,488,14051,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,9,"He lieth in wait secretly as a lion in his den: he lieth in wait to catch the poor: he doth catch the poor, when he draweth him into his net.","Psalms 10:9","Ps. 10:9"
1,19,488,14052,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,10,"He croucheth, and humbleth himself, that the poor may fall by his strong ones.","Psalms 10:10","Ps. 10:10"
1,19,488,14053,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,11,"He hath said in his heart, God hath forgotten: he hideth his face; he will never see it.","Psalms 10:11","Ps. 10:11"
1,19,488,14054,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,12,"Arise, O Lord; O God, lift up thine hand: forget not the humble.","Psalms 10:12","Ps. 10:12"
1,19,488,14055,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,13,"Wherefore doth the wicked contemn God? he hath said in his heart, Thou wilt not require it.","Psalms 10:13","Ps. 10:13"
1,19,488,14056,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,14,"Thou hast seen it; for thou beholdest mischief and spite, to requite it with thy hand: the poor committeth himself unto thee; thou art the helper of the fatherless.","Psalms 10:14","Ps. 10:14"
1,19,488,14057,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,15,"Break thou the arm of the wicked and the evil man: seek out his wickedness till thou find none.","Psalms 10:15","Ps. 10:15"
1,19,488,14058,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,16,"The Lord is King for ever and ever: the heathen are perished out of his land.","Psalms 10:16","Ps. 10:16"
1,19,488,14059,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,17,"Lord, thou hast heard the desire of the humble: thou wilt prepare their heart, thou wilt cause thine ear to hear:","Psalms 10:17","Ps. 10:17"
1,19,488,14060,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,10,18,"To judge the fatherless and the oppressed, that the man of the earth may no more oppress.","Psalms 10:18","Ps. 10:18"
1,19,489,14061,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,1,"In the Lord put I my trust: how say ye to my soul, Flee as a bird to your mountain?","Psalms 11:1","Ps. 11:1"
1,19,489,14062,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,2,"For, lo, the wicked bend their bow, they make ready their arrow upon the string, that they may privily shoot at the upright in heart.","Psalms 11:2","Ps. 11:2"
1,19,489,14063,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,3,"If the foundations be destroyed, what can the righteous do?","Psalms 11:3","Ps. 11:3"
1,19,489,14064,"Old Testament",Psalms,"The Old Testament","The Book of Psalms","","",OT,Ps.,ot,ps,11,4,"The Lord is in his holy temple, the Lord's throne is in heaven: his eyes behold, his eyelids try, the children of men.","Psalms 11:4","Ps. 11:4"
